id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,id,user_id,search_term,search_date
230,user_230,user230@example.com,hash_password_230,2020-01-12,India,Genre_2,moderator,Recomendeitor_Plus,1,230,search_term_1,2022-10-20
18,user_18,user18@example.com,hash_password_18,2020-12-27,Brazil,Genre_6,consumer,Recomendeitor,2,18,search_term_2,2022-04-15
801,user_801,user801@example.com,hash_password_801,2020-09-30,USA,Genre_5,consumer,Recomendeitor_Plus,3,801,search_term_3,2021-12-31
673,user_673,user673@example.com,hash_password_673,2020-01-31,France,Genre_9,content_creator,Recomendeitor,4,673,search_term_4,2022-07-08
864,user_864,user864@example.com,hash_password_864,2022-05-09,UK,Genre_5,moderator,Recomendeitor,5,864,search_term_5,2022-05-20
890,user_890,user890@example.com,hash_password_890,2022-07-16,Brazil,Genre_2,moderator,Recomendeitor_Plus,6,890,search_term_6,2021-10-18
281,user_281,user281@example.com,hash_password_281,2021-01-23,Spain,Genre_5,moderator,Recomendeitor_Plus,7,281,search_term_7,2021-05-23
910,user_910,user910@example.com,hash_password_910,2022-02-01,UK,Genre_2,moderator,Recomendeitor_Plus,8,910,search_term_8,2022-10-24
422,user_422,user422@example.com,hash_password_422,2022-09-16,USA,Genre_7,admin,Recomendeitor_Plus,9,422,search_term_9,2021-10-28
678,user_678,user678@example.com,hash_password_678,2021-06-30,USA,Genre_10,content_creator,Recomendeitor,10,678,search_term_10,2022-01-17
772,user_772,user772@example.com,hash_password_772,2022-09-01,Germany,Genre_4,content_creator,Recomendeitor_Plus,11,772,search_term_11,2022-01-04
876,user_876,user876@example.com,hash_password_876,2020-12-24,Japan,,consumer,Recomendeitor,12,876,search_term_12,2021-04-17
702,user_702,user702@example.com,hash_password_702,2020-02-11,Spain,,admin,Recomendeitor_Plus,13,702,search_term_13,2021-05-08
338,user_338,user338@example.com,hash_password_338,2022-06-03,India,Genre_9,consumer,Recomendeitor,14,338,search_term_14,2021-05-31
266,user_266,user266@example.com,hash_password_266,2020-06-01,Germany,Genre_1,moderator,Recomendeitor_Plus,15,266,search_term_15,2021-06-25
803,user_803,user803@example.com,hash_password_803,2022-10-07,Spain,Genre_9,admin,Recomendeitor_Plus,16,803,search_term_16,2021-01-26
355,user_355,user355@example.com,hash_password_355,2021-01-05,Japan,Genre_2,content_creator,Recomendeitor_Plus,17,355,search_term_17,2021-11-14
360,user_360,user360@example.com,hash_password_360,2022-09-29,USA,Genre_10,consumer,Recomendeitor_Plus,18,360,search_term_18,2022-08-17
791,user_791,user791@example.com,hash_password_791,2020-01-20,Japan,Genre_1,consumer,Recomendeitor,19,791,search_term_19,2021-01-12
217,user_217,user217@example.com,hash_password_217,2022-03-15,Brazil,Genre_9,admin,Recomendeitor_Plus,20,217,search_term_20,2022-12-20
321,user_321,user321@example.com,hash_password_321,2020-03-18,Spain,Genre_2,content_creator,Recomendeitor,21,321,search_term_21,2021-07-29
850,user_850,user850@example.com,hash_password_850,2022-02-01,Spain,Genre_6,consumer,Recomendeitor,22,850,search_term_22,2021-11-17
719,user_719,user719@example.com,hash_password_719,2021-12-07,France,Genre_4,moderator,Recomendeitor_Plus,23,719,search_term_23,2021-06-22
665,user_665,user665@example.com,hash_password_665,2021-12-24,Italy,Genre_9,admin,Recomendeitor_Plus,24,665,search_term_24,2022-07-31
992,user_992,user992@example.com,hash_password_992,2020-06-27,Spain,,content_creator,Recomendeitor,25,992,search_term_25,2022-06-06
693,user_693,user693@example.com,hash_password_693,2021-06-06,France,Genre_7,content_creator,Recomendeitor_Plus,26,693,search_term_26,2021-06-07
212,user_212,user212@example.com,hash_password_212,2021-09-11,Germany,Genre_9,consumer,Recomendeitor,27,212,search_term_27,2022-08-12
785,user_785,user785@example.com,hash_password_785,2022-10-24,Brazil,Genre_10,admin,Recomendeitor,28,785,search_term_28,2021-06-08
953,user_953,user953@example.com,hash_password_953,2022-06-02,Brazil,Genre_6,admin,Recomendeitor,29,953,search_term_29,2021-02-21
203,user_203,user203@example.com,hash_password_203,2021-02-15,India,Genre_2,content_creator,Recomendeitor_Plus,30,203,search_term_30,2021-05-18
717,user_717,user717@example.com,hash_password_717,2021-05-23,UK,Genre_7,admin,Recomendeitor_Plus,31,717,search_term_31,2022-12-22
985,user_985,user985@example.com,hash_password_985,2020-12-28,Germany,Genre_2,admin,Recomendeitor_Plus,32,985,search_term_32,2021-12-08
916,user_916,user916@example.com,hash_password_916,2022-01-13,France,,moderator,Recomendeitor_Plus,33,916,search_term_33,2022-11-05
896,user_896,user896@example.com,hash_password_896,2021-07-14,USA,Genre_1,admin,Recomendeitor_Plus,34,896,search_term_34,2022-04-25
153,user_153,user153@example.com,hash_password_153,2022-11-25,Spain,Genre_1,content_creator,Recomendeitor_Plus,35,153,search_term_35,2022-01-16
682,user_682,user682@example.com,hash_password_682,2022-04-16,Brazil,Genre_2,content_creator,Recomendeitor_Plus,36,682,search_term_36,2022-06-19
429,user_429,user429@example.com,hash_password_429,2020-01-16,Germany,Genre_5,moderator,Recomendeitor_Plus,37,429,search_term_37,2021-09-10
753,user_753,user753@example.com,hash_password_753,2021-07-27,Japan,Genre_10,admin,Recomendeitor,38,753,search_term_38,2022-11-05
287,user_287,user287@example.com,hash_password_287,2022-10-10,Canada,Genre_9,moderator,Recomendeitor_Plus,39,287,search_term_39,2021-12-22
757,user_757,user757@example.com,hash_password_757,2020-06-26,USA,Genre_1,moderator,Recomendeitor,40,757,search_term_40,2022-11-21
321,user_321,user321@example.com,hash_password_321,2020-03-18,Spain,Genre_2,content_creator,Recomendeitor,41,321,search_term_41,2021-07-11
436,user_436,user436@example.com,hash_password_436,2021-07-27,USA,Genre_9,admin,Recomendeitor_Plus,42,436,search_term_42,2021-11-29
592,user_592,user592@example.com,hash_password_592,2020-04-23,Germany,Genre_7,admin,Recomendeitor,43,592,search_term_43,2021-11-11
496,user_496,user496@example.com,hash_password_496,2020-02-12,USA,Genre_2,content_creator,Recomendeitor,44,496,search_term_44,2022-08-26
604,user_604,user604@example.com,hash_password_604,2022-10-16,UK,Genre_5,moderator,Recomendeitor,45,604,search_term_45,2021-02-02
149,user_149,user149@example.com,hash_password_149,2022-05-09,Germany,Genre_2,moderator,Recomendeitor_Plus,46,149,search_term_46,2022-04-18
542,user_542,user542@example.com,hash_password_542,2022-05-11,Italy,Genre_1,consumer,Recomendeitor_Plus,47,542,search_term_47,2022-07-26
635,user_635,user635@example.com,hash_password_635,2021-02-06,Japan,Genre_8,moderator,Recomendeitor,48,635,search_term_48,2022-10-03
899,user_899,user899@example.com,hash_password_899,2020-01-22,Spain,Genre_6,content_creator,Recomendeitor,49,899,search_term_49,2021-10-23
482,user_482,user482@example.com,hash_password_482,2022-10-22,Japan,,moderator,Recomendeitor_Plus,50,482,search_term_50,2022-07-14
326,user_326,user326@example.com,hash_password_326,2020-09-01,Japan,Genre_10,content_creator,Recomendeitor,51,326,search_term_51,2021-09-01
939,user_939,user939@example.com,hash_password_939,2022-05-16,USA,Genre_2,consumer,Recomendeitor,52,939,search_term_52,2021-11-03
29,user_29,user29@example.com,hash_password_29,2021-11-28,Italy,Genre_1,consumer,Recomendeitor,53,29,search_term_53,2022-04-20
259,user_259,user259@example.com,hash_password_259,2021-10-20,India,Genre_2,content_creator,Recomendeitor_Plus,54,259,search_term_54,2022-12-31
698,user_698,user698@example.com,hash_password_698,2021-12-27,France,Genre_10,content_creator,Recomendeitor,55,698,search_term_55,2022-07-31
