id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,id,user_id,content_id,interaction_type,interaction_date,id,title,release_date,duration,content_type,rating
306,user_306,user306@example.com,hash_password_306,2021-10-19,USA,Genre_10,content_creator,Recomendeitor,1,306,121,favorite,2022-06-29,121,Content_121,2018-06-24,114,movie,4.8
780,user_780,user780@example.com,hash_password_780,2022-05-29,Japan,Genre_6,admin,Recomendeitor_Plus,2,780,9,share,2022-10-21,9,Content_9,2017-12-22,161,short,3.9
204,user_204,user204@example.com,hash_password_204,2022-03-30,Spain,Genre_7,admin,Recomendeitor,3,204,134,like,2021-02-26,134,Content_134,2016-07-11,143,documentary,3.8
853,user_853,user853@example.com,hash_password_853,2020-05-24,Germany,Genre_2,admin,Recomendeitor_Plus,4,853,123,comment,2021-10-05,123,Content_123,2014-12-19,88,short,2.1
123,user_123,user123@example.com,hash_password_123,2021-02-12,UK,Genre_1,content_creator,Recomendeitor,5,123,49,favorite,2022-12-22,49,Content_49,2020-10-19,81,short,3.1
570,user_570,user570@example.com,hash_password_570,2022-01-05,UK,,admin,Recomendeitor_Plus,6,570,91,comment,2022-01-26,91,Content_91,2017-07-09,40,series,2.2
851,user_851,user851@example.com,hash_password_851,2021-11-27,Canada,,moderator,Recomendeitor,7,851,125,share,2021-03-24,125,Content_125,2022-01-01,163,movie,2.2
447,user_447,user447@example.com,hash_password_447,2020-11-22,UK,Genre_9,content_creator,Recomendeitor,8,447,76,comment,2021-08-14,76,Content_76,2016-11-16,64,movie,3.6
713,user_713,user713@example.com,hash_password_713,2020-10-09,USA,Genre_8,moderator,Recomendeitor,9,713,150,like,2022-09-04,150,Content_150,2019-12-27,152,documentary,3.2
491,user_491,user491@example.com,hash_password_491,2022-03-02,USA,Genre_2,admin,Recomendeitor_Plus,10,491,104,favorite,2022-06-17,104,Content_104,2020-09-19,119,short,3.9
433,user_433,user433@example.com,hash_password_433,2020-08-19,Japan,Genre_2,admin,Recomendeitor_Plus,11,433,176,share,2021-08-23,176,Content_176,2018-01-17,149,short,2.6
624,user_624,user624@example.com,hash_password_624,2022-07-14,India,Genre_8,content_creator,Recomendeitor,12,624,149,like,2022-04-17,149,Content_149,2015-01-30,91,live,3.9
128,user_128,user128@example.com,hash_password_128,2021-07-16,France,Genre_7,consumer,Recomendeitor,13,128,33,favorite,2021-03-09,33,Content_33,2010-05-09,142,series,3.6
548,user_548,user548@example.com,hash_password_548,2022-11-18,Canada,Genre_3,moderator,Recomendeitor,14,548,184,share,2021-08-07,184,Content_184,2010-08-19,50,documentary,4.2
