id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,user_id,content_id,id,title,release_date,duration,content_type,rating
367,user_367,user367@example.com,hash_password_367,2022-08-22,Brazil,Genre_6,consumer,Recomendeitor_Plus,367,51,51,Content_51,2011-07-21,151,short,2.1
128,user_128,user128@example.com,hash_password_128,2021-07-16,France,Genre_7,consumer,Recomendeitor,128,194,194,Content_194,2010-04-06,139,documentary,2.2
351,user_351,user351@example.com,hash_password_351,2021-02-09,Italy,Genre_7,consumer,Recomendeitor,351,3,3,Content_3,2020-02-15,147,live,4.7
147,user_147,user147@example.com,hash_password_147,2022-04-01,India,Genre_5,admin,Recomendeitor_Plus,147,89,89,Content_89,2018-06-25,66,short,4.9
285,user_285,user285@example.com,hash_password_285,2020-06-01,Spain,Genre_1,moderator,Recomendeitor_Plus,285,54,54,Content_54,2016-12-12,70,documentary,4.8
469,user_469,user469@example.com,hash_password_469,2022-12-25,UK,Genre_9,content_creator,Recomendeitor,469,49,49,Content_49,2020-10-19,81,short,3.1
218,user_218,user218@example.com,hash_password_218,2021-12-02,Italy,Genre_6,content_creator,Recomendeitor_Plus,218,28,28,Content_28,2011-07-22,10,live,2.4
436,user_436,user436@example.com,hash_password_436,2021-07-27,USA,Genre_9,admin,Recomendeitor_Plus,436,38,38,Content_38,2022-12-25,44,short,3.0
732,user_732,user732@example.com,hash_password_732,2020-12-14,Canada,Genre_9,admin,Recomendeitor,732,28,28,Content_28,2011-07-22,10,live,2.4
145,user_145,user145@example.com,hash_password_145,2022-07-14,USA,Genre_5,moderator,Recomendeitor,145,32,32,Content_32,2019-12-28,145,short,2.4
841,user_841,user841@example.com,hash_password_841,2020-05-12,Italy,Genre_9,content_creator,Recomendeitor,841,41,41,Content_41,2018-01-02,18,documentary,1.1
277,user_277,user277@example.com,hash_password_277,2021-10-17,USA,Genre_2,moderator,Recomendeitor,277,36,36,Content_36,2019-10-21,10,documentary,4.7
754,user_754,user754@example.com,hash_password_754,2020-09-17,Spain,Genre_3,content_creator,Recomendeitor,754,103,103,Content_103,2010-06-29,165,series,2.3
60,user_60,user60@example.com,hash_password_60,2022-06-15,Japan,Genre_3,consumer,Recomendeitor_Plus,60,36,36,Content_36,2019-10-21,10,documentary,4.7
610,user_610,user610@example.com,hash_password_610,2020-09-30,Brazil,Genre_9,consumer,Recomendeitor,610,107,107,Content_107,2022-01-28,88,series,2.5
843,user_843,user843@example.com,hash_password_843,2021-09-23,Italy,Genre_5,content_creator,Recomendeitor,843,126,126,Content_126,2014-08-27,27,series,3.9
375,user_375,user375@example.com,hash_password_375,2020-07-24,Italy,Genre_10,content_creator,Recomendeitor,375,87,87,Content_87,2020-08-04,62,short,3.1
404,user_404,user404@example.com,hash_password_404,2020-11-23,France,Genre_5,consumer,Recomendeitor,404,66,66,Content_66,2016-10-24,111,movie,1.3
881,user_881,user881@example.com,hash_password_881,2022-04-12,USA,Genre_7,admin,Recomendeitor,881,138,138,Content_138,2022-09-12,166,series,3.8
693,user_693,user693@example.com,hash_password_693,2021-06-06,France,Genre_7,content_creator,Recomendeitor_Plus,693,70,70,Content_70,2017-09-27,168,short,2.6
114,user_114,user114@example.com,hash_password_114,2021-09-06,UK,Genre_10,content_creator,Recomendeitor_Plus,114,200,200,Content_200,2011-04-10,109,live,2.6
495,user_495,user495@example.com,hash_password_495,2021-05-29,France,Genre_1,admin,Recomendeitor_Plus,495,79,79,Content_79,2021-03-10,62,documentary,3.2
615,user_615,user615@example.com,hash_password_615,2022-05-15,Japan,Genre_10,content_creator,Recomendeitor_Plus,615,93,93,Content_93,2010-11-17,32,series,1.9
