id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,id,user_id,content_id,recommended_by,recommendation_date,id,title,release_date,duration,content_type,rating
297,user_297,user297@example.com,hash_password_297,2021-09-14,France,Genre_3,moderator,Recomendeitor_Plus,1,297,184,Recomendeitor_Plus,2022-02-22,184,Content_184,2010-08-19,50,documentary,4.2
896,user_896,user896@example.com,hash_password_896,2021-07-14,USA,Genre_1,admin,Recomendeitor_Plus,2,896,15,Recomendeitor,2021-08-13,15,Content_15,2018-07-07,28,short,1.5
834,user_834,user834@example.com,hash_password_834,2022-07-15,Spain,Genre_4,moderator,Recomendeitor,3,834,176,Recomendeitor,2021-05-11,176,Content_176,2018-01-17,149,short,2.6
498,user_498,user498@example.com,hash_password_498,2021-02-09,Italy,Genre_3,moderator,Recomendeitor,4,498,49,Recomendeitor,2022-08-30,49,Content_49,2020-10-19,81,short,3.1
597,user_597,user597@example.com,hash_password_597,2020-10-29,Canada,Genre_4,admin,Recomendeitor,5,597,172,Recomendeitor,2021-12-22,172,Content_172,2016-12-27,34,documentary,4.5
993,user_993,user993@example.com,hash_password_993,2022-04-25,Spain,,consumer,Recomendeitor,6,993,10,Recomendeitor,2022-03-16,10,Content_10,2021-09-19,44,short,1.4
792,user_792,user792@example.com,hash_password_792,2021-10-14,Spain,Genre_3,admin,Recomendeitor,7,792,20,Recomendeitor,2022-07-31,20,Content_20,2020-03-05,80,live,1.2
245,user_245,user245@example.com,hash_password_245,2022-04-17,Spain,Genre_4,consumer,Recomendeitor_Plus,8,245,70,Recomendeitor,2022-08-24,70,Content_70,2017-09-27,168,short,2.6
300,user_300,user300@example.com,hash_password_300,2021-08-11,India,Genre_3,content_creator,Recomendeitor_Plus,9,300,8,Recomendeitor_Plus,2022-08-18,8,Content_8,2012-02-12,178,documentary,4.4
362,user_362,user362@example.com,hash_password_362,2021-12-11,Japan,Genre_7,admin,Recomendeitor,10,362,173,Recomendeitor,2022-01-20,173,Content_173,2010-09-29,103,series,1.7
354,user_354,user354@example.com,hash_password_354,2021-05-03,India,Genre_3,consumer,Recomendeitor_Plus,11,354,34,Recomendeitor_Plus,2022-03-03,34,Content_34,2021-06-09,137,documentary,2.0
828,user_828,user828@example.com,hash_password_828,2022-01-27,Brazil,Genre_6,admin,Recomendeitor,12,828,179,Recomendeitor,2022-02-01,179,Content_179,2016-07-27,154,documentary,1.6
521,user_521,user521@example.com,hash_password_521,2022-12-02,Germany,Genre_6,content_creator,Recomendeitor_Plus,13,521,4,Recomendeitor_Plus,2021-03-29,4,Content_4,2022-09-28,51,series,1.9
386,user_386,user386@example.com,hash_password_386,2022-08-08,Japan,Genre_9,consumer,Recomendeitor_Plus,14,386,108,Recomendeitor_Plus,2022-03-21,108,Content_108,2012-09-11,31,movie,4.6
759,user_759,user759@example.com,hash_password_759,2021-04-28,India,Genre_1,consumer,Recomendeitor_Plus,15,759,167,Recomendeitor,2021-03-30,167,Content_167,2021-11-13,170,short,3.2
312,user_312,user312@example.com,hash_password_312,2020-10-21,Canada,Genre_8,moderator,Recomendeitor,16,312,24,Recomendeitor_Plus,2021-07-28,24,Content_24,2015-06-26,74,live,4.0
414,user_414,user414@example.com,hash_password_414,2020-05-23,USA,,consumer,Recomendeitor_Plus,17,414,55,Recomendeitor_Plus,2022-08-26,55,Content_55,2015-09-03,92,live,4.6
278,user_278,user278@example.com,hash_password_278,2020-10-12,UK,Genre_9,moderator,Recomendeitor,18,278,26,Recomendeitor,2022-02-26,26,Content_26,2014-04-05,34,live,4.8
750,user_750,user750@example.com,hash_password_750,2021-12-23,France,Genre_9,consumer,Recomendeitor,19,750,25,Recomendeitor_Plus,2022-10-02,25,Content_25,2020-04-09,45,short,4.7
715,user_715,user715@example.com,hash_password_715,2021-02-08,Italy,Genre_4,consumer,Recomendeitor,20,715,36,Recomendeitor,2021-10-12,36,Content_36,2019-10-21,10,documentary,4.7
759,user_759,user759@example.com,hash_password_759,2021-04-28,India,Genre_1,consumer,Recomendeitor_Plus,21,759,71,Recomendeitor_Plus,2022-02-26,71,Content_71,2011-07-02,43,live,4.2
747,user_747,user747@example.com,hash_password_747,2020-06-26,Japan,Genre_6,content_creator,Recomendeitor,22,747,186,Recomendeitor_Plus,2022-10-01,186,Content_186,2018-07-19,56,series,3.5
593,user_593,user593@example.com,hash_password_593,2021-12-08,UK,Genre_7,admin,Recomendeitor,23,593,12,Recomendeitor_Plus,2022-08-11,12,Content_12,2021-11-26,66,live,1.1
356,user_356,user356@example.com,hash_password_356,2021-02-16,Spain,Genre_3,admin,Recomendeitor_Plus,24,356,129,Recomendeitor_Plus,2021-02-02,129,Content_129,2018-01-13,96,series,3.1
525,user_525,user525@example.com,hash_password_525,2021-10-31,Italy,Genre_10,admin,Recomendeitor,25,525,116,Recomendeitor,2022-08-14,116,Content_116,2011-12-07,43,short,3.2
839,user_839,user839@example.com,hash_password_839,2022-03-13,Germany,Genre_6,consumer,Recomendeitor_Plus,26,839,178,Recomendeitor,2022-07-13,178,Content_178,2016-06-26,51,live,4.5
