id,username,email,password,date_of_registration,country,preferences,user_type,recommendation_system,id,user_id,content_id,view_date,duration_viewed,recommendation_system,id,title,release_date,duration,content_type,rating
214,user_214,user214@example.com,hash_password_214,2022-10-06,Germany,Genre_2,moderator,Recomendeitor_Plus,1,214,153,2021-12-31,107,Recomendeitor,153,Content_153,2018-05-01,92,movie,2.5
256,user_256,user256@example.com,hash_password_256,2022-10-20,UK,Genre_8,consumer,Recomendeitor,2,256,38,2022-08-31,124,Recomendeitor,38,Content_38,2022-12-25,44,short,3.0
135,user_135,user135@example.com,hash_password_135,2020-06-19,Canada,Genre_3,consumer,Recomendeitor_Plus,3,135,14,2021-07-25,100,Recomendeitor,14,Content_14,2014-08-19,172,movie,3.6
573,user_573,user573@example.com,hash_password_573,2020-05-11,Germany,Genre_4,moderator,Recomendeitor,4,573,136,2021-09-20,43,Recomendeitor_Plus,136,Content_136,2020-03-13,130,series,2.8
875,user_875,user875@example.com,hash_password_875,2021-01-25,USA,,consumer,Recomendeitor,5,875,91,2022-04-30,119,Recomendeitor_Plus,91,Content_91,2017-07-09,40,series,2.2
822,user_822,user822@example.com,hash_password_822,2021-08-11,India,Genre_8,consumer,Recomendeitor_Plus,6,822,54,2022-06-23,23,Recomendeitor,54,Content_54,2016-12-12,70,documentary,4.8
88,user_88,user88@example.com,hash_password_88,2020-09-22,USA,Genre_1,admin,Recomendeitor,7,88,130,2021-11-05,155,Recomendeitor_Plus,130,Content_130,2014-02-23,97,live,3.0
836,user_836,user836@example.com,hash_password_836,2021-03-05,Spain,,admin,Recomendeitor_Plus,8,836,101,2022-05-20,37,Recomendeitor_Plus,101,Content_101,2018-03-31,123,movie,2.7
988,user_988,user988@example.com,hash_password_988,2022-07-05,France,,moderator,Recomendeitor,9,988,89,2021-03-04,134,Recomendeitor,89,Content_89,2018-06-25,66,short,4.9
207,user_207,user207@example.com,hash_password_207,2020-11-25,Germany,Genre_6,admin,Recomendeitor_Plus,10,207,56,2022-10-24,65,Recomendeitor_Plus,56,Content_56,2015-06-18,132,series,2.7
129,user_129,user129@example.com,hash_password_129,2020-12-06,Italy,,content_creator,Recomendeitor_Plus,11,129,94,2021-09-13,134,Recomendeitor_Plus,94,Content_94,2013-06-18,41,movie,1.0
823,user_823,user823@example.com,hash_password_823,2021-06-06,France,Genre_4,admin,Recomendeitor_Plus,12,823,93,2022-10-25,178,Recomendeitor,93,Content_93,2010-11-17,32,series,1.9
3,user_3,user3@example.com,hash_password_3,2020-02-08,Brazil,,moderator,Recomendeitor_Plus,13,3,84,2022-06-08,22,Recomendeitor_Plus,84,Content_84,2013-03-11,22,live,4.1
974,user_974,user974@example.com,hash_password_974,2022-07-11,Spain,Genre_9,moderator,Recomendeitor_Plus,14,974,85,2022-10-30,105,Recomendeitor_Plus,85,Content_85,2018-10-27,30,series,1.0
934,user_934,user934@example.com,hash_password_934,2022-05-24,USA,Genre_9,content_creator,Recomendeitor_Plus,15,934,189,2022-02-19,88,Recomendeitor,189,Content_189,2011-09-16,133,series,4.6
754,user_754,user754@example.com,hash_password_754,2020-09-17,Spain,Genre_3,content_creator,Recomendeitor,16,754,22,2021-10-23,153,Recomendeitor_Plus,22,Content_22,2017-05-08,144,movie,2.5
121,user_121,user121@example.com,hash_password_121,2022-05-22,Japan,Genre_7,admin,Recomendeitor_Plus,17,121,35,2021-09-03,125,Recomendeitor_Plus,35,Content_35,2014-08-02,136,movie,1.8
385,user_385,user385@example.com,hash_password_385,2021-04-14,Italy,Genre_5,moderator,Recomendeitor,18,385,16,2022-05-02,79,Recomendeitor_Plus,16,Content_16,2019-03-10,123,live,2.2
614,user_614,user614@example.com,hash_password_614,2020-03-19,Germany,Genre_1,moderator,Recomendeitor_Plus,19,614,50,2022-07-13,90,Recomendeitor,50,Content_50,2018-05-14,12,movie,4.0
38,user_38,user38@example.com,hash_password_38,2020-08-29,Italy,Genre_10,admin,Recomendeitor,20,38,122,2022-11-21,51,Recomendeitor,122,Content_122,2022-03-11,58,short,1.2
341,user_341,user341@example.com,hash_password_341,2022-07-12,Italy,Genre_2,content_creator,Recomendeitor,21,341,128,2022-08-13,176,Recomendeitor_Plus,128,Content_128,2018-03-18,47,movie,1.4
925,user_925,user925@example.com,hash_password_925,2021-09-14,Japan,Genre_9,consumer,Recomendeitor_Plus,22,925,113,2022-01-15,102,Recomendeitor_Plus,113,Content_113,2016-12-10,21,documentary,3.4
645,user_645,user645@example.com,hash_password_645,2020-04-30,USA,Genre_6,moderator,Recomendeitor,23,645,171,2022-11-09,106,Recomendeitor,171,Content_171,2013-12-22,26,series,3.9
714,user_714,user714@example.com,hash_password_714,2020-03-19,Brazil,Genre_2,consumer,Recomendeitor,24,714,17,2022-02-25,60,Recomendeitor,17,Content_17,2018-05-27,17,short,2.6
860,user_860,user860@example.com,hash_password_860,2022-10-28,India,Genre_7,consumer,Recomendeitor,25,860,80,2021-01-28,46,Recomendeitor_Plus,80,Content_80,2019-03-26,48,short,2.1
21,user_21,user21@example.com,hash_password_21,2020-02-11,France,Genre_1,moderator,Recomendeitor,26,21,186,2022-04-25,36,Recomendeitor,186,Content_186,2018-07-19,56,series,3.5
242,user_242,user242@example.com,hash_password_242,2022-11-05,UK,Genre_1,admin,Recomendeitor,27,242,130,2021-02-23,166,Recomendeitor_Plus,130,Content_130,2014-02-23,97,live,3.0
455,user_455,user455@example.com,hash_password_455,2022-08-22,Brazil,Genre_2,content_creator,Recomendeitor,28,455,132,2021-07-02,11,Recomendeitor_Plus,132,Content_132,2019-05-19,17,short,4.7
963,user_963,user963@example.com,hash_password_963,2020-05-06,France,Genre_1,admin,Recomendeitor,29,963,85,2022-05-06,12,Recomendeitor,85,Content_85,2018-10-27,30,series,1.0
621,user_621,user621@example.com,hash_password_621,2022-11-03,Germany,Genre_8,admin,Recomendeitor,30,621,167,2022-06-16,170,Recomendeitor,167,Content_167,2021-11-13,170,short,3.2
303,user_303,user303@example.com,hash_password_303,2021-02-15,USA,,moderator,Recomendeitor_Plus,31,303,94,2022-12-17,39,Recomendeitor_Plus,94,Content_94,2013-06-18,41,movie,1.0
